38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	6	84	652	26	0	768
0	0	0	0	8	89	640	31	0	768
0	0	0	0	9	79	660	20	0	768
0	0	0	0	8	84	649	27	0	768
0	0	0	0	8	77	661	22	0	768
0	0	0	0	12	84	644	28	0	768
0	0	0	0	14	74	646	34	0	768
0	0	0	0	16	69	669	14	0	768
0	0	0	0	15	69	661	23	0	768
0	0	0	0	16	72	661	19	0	768
0	0	0	0	22	72	656	18	0	768
0	0	0	0	9	72	661	26	0	768
0	0	0	0	17	104	580	67	0	768
0	0	0	0	26	114	556	72	0	768
0	0	0	0	30	110	570	58	0	768
0	0	0	0	34	102	578	54	0	768
0	0	0	0	30	109	552	77	0	768
0	0	0	0	40	112	534	82	0	768
0	0	0	0	26	107	554	81	0	768
0	0	0	0	29	112	552	75	0	768
0	0	0	0	23	123	577	45	0	768
0	0	0	0	25	107	597	39	0	768
0	0	0	0	27	108	565	68	0	768
0	0	0	0	27	111	555	75	0	768
0	0	0	0	26	119	573	50	0	768
0	0	0	0	25	105	559	79	0	768
0	0	0	0	28	100	584	56	0	768
0	0	0	0	34	107	580	47	0	768
0	0	0	0	16	90	606	56	0	768
0	0	0	0	15	92	604	57	0	768
0	0	0	0	10	98	605	55	0	768
0	0	0	0	16	89	611	52	0	768
0	0	0	0	17	89	625	37	0	768
0	0	0	0	19	90	617	42	0	768
0	0	0	0	15	90	581	82	0	768
0	0	0	0	19	95	629	25	0	768
0	0	0	0	16	90	608	54	0	768
0	0	0	0	10	97	559	102	0	768
0	0	0	0	4	112	547	105	0	768
0	0	0	0	28	94	588	58	0	768
0	0	0	0	32	99	599	38	0	768
0	0	0	0	35	95	597	41	0	768
0	0	0	0	35	88	627	18	0	768
0	0	0	0	38	87	630	13	0	768
0	0	0	0	40	85	634	9	0	768
0	0	0	0	34	102	613	19	0	768
0	0	0	0	32	102	609	25	0	768
0	0	0	0	38	100	612	18	0	768
0	0	0	0	45	90	618	15	0	768
0	0	0	0	44	99	607	18	0	768
0	0	0	0	50	79	623	16	0	768
0	0	0	0	49	79	622	18	0	768
0	0	0	0	47	78	632	11	0	768
0	0	0	0	54	85	626	3	0	768
0	0	0	0	52	92	609	15	0	768
0	0	0	0	47	94	626	1	0	768
0	0	0	0	42	97	629	0	0	768
0	0	0	0	36	95	632	5	0	768
0	0	0	0	27	88	648	5	0	768
0	0	0	0	27	101	632	8	0	768
0	0	0	0	39	91	623	15	0	768
0	0	0	0	41	89	629	9	0	768
0	0	0	0	36	97	624	11	0	768
0	0	0	0	33	89	632	14	0	768
0	0	0	0	36	85	639	8	0	768
0	0	0	0	36	91	634	7	0	768
0	0	0	0	41	95	629	3	0	768
0	0	0	0	38	92	626	12	0	768
0	0	0	0	46	114	587	21	0	768
0	0	0	0	51	102	600	15	0	768
0	0	0	0	44	103	607	14	0	768
0	0	0	0	20	90	649	9	0	768
0	0	0	0	35	112	614	7	0	768
0	0	0	0	42	119	603	4	0	768
0	0	0	0	41	120	597	10	0	768
0	0	0	0	46	111	598	13	0	768
0	0	0	0	36	113	589	30	0	768
0	0	0	0	37	115	574	42	0	768
0	0	0	0	40	103	584	41	0	768
0	0	0	0	33	113	584	38	0	768
0	0	0	0	34	116	588	30	0	768
0	0	0	0	38	114	589	27	0	768
0	0	0	0	42	115	591	20	0	768
0	0	0	0	34	116	583	35	0	768
0	0	0	0	34	118	553	63	0	768
0	0	0	0	45	104	592	27	0	768
0	0	0	0	42	104	572	50	0	768
0	0	0	0	42	110	572	44	0	768
0	0	0	0	40	108	572	48	0	768
0	0	0	0	39	105	573	51	0	768
0	0	0	0	22	104	554	88	0	768
0	0	0	0	39	112	578	39	0	768
0	0	0	0	11	121	580	56	0	768
0	0	0	0	26	118	587	37	0	768
0	0	0	0	35	118	545	70	0	768
0	0	0	0	34	105	529	100	0	768
0	0	0	0	37	117	526	88	0	768
0	0	0	0	37	112	519	100	0	768
0	0	0	0	48	112	541	67	0	768
0	0	0	0	48	110	517	93	0	768
0	0	0	0	53	106	520	89	0	768
0	0	0	0	50	113	493	112	0	768
0	0	0	0	48	110	496	114	0	768
0	0	0	0	47	105	475	141	0	768
0	0	0	0	37	173	433	125	0	768
0	0	0	0	32	213	408	115	0	768
0	0	0	2	74	225	437	30	0	768
0	0	0	1	80	126	448	113	0	768
0	0	0	0	51	115	460	142	0	768
0	0	0	0	44	118	439	167	0	768
0	0	0	0	39	130	422	177	0	768
0	0	0	0	33	153	415	167	0	768
0	0	0	0	31	153	391	193	0	768
0	0	0	0	32	142	407	187	0	768
0	0	0	0	29	142	430	167	0	768
0	0	0	0	30	129	440	169	0	768
0	0	0	0	26	133	423	186	0	768
0	0	0	0	28	135	430	175	0	768
0	0	0	0	28	133	430	177	0	768
0	0	0	0	22	143	459	144	0	768
0	0	0	0	29	166	415	158	0	768
0	0	0	0	32	126	424	186	0	768
0	0	0	0	19	115	452	182	0	768
0	0	0	0	17	114	471	166	0	768
0	0	0	0	18	112	476	162	0	768
0	0	0	0	25	95	485	163	0	768
0	0	0	0	25	89	473	181	0	768
0	0	0	0	18	93	479	178	0	768
0	0	0	0	14	91	464	199	0	768
0	0	0	0	15	91	464	198	0	768
0	0	0	0	14	92	461	201	0	768
0	0	0	0	15	97	465	191	0	768
0	0	0	0	16	109	459	184	0	768
0	0	0	0	39	158	388	183	0	768
0	0	0	0	28	156	406	178	0	768
0	0	0	0	33	155	399	181	0	768
0	0	0	0	73	170	375	150	0	768
0	0	0	0	54	128	422	164	0	768
0	0	0	0	53	122	417	176	0	768
0	0	0	0	49	136	397	186	0	768
0	0	0	0	53	135	416	164	0	768
0	0	0	0	52	127	417	172	0	768
0	0	0	0	32	161	420	155	0	768
0	0	0	0	2	121	500	145	0	768
0	0	0	0	1	102	465	200	0	768
0	0	0	0	6	126	471	165	0	768
0	0	0	0	5	123	466	174	0	768
